,country_code,year,GDP-USD
746,HND,1993,4926728932.95069
747,HTI,1993,1878253818.03275
748,HUN,1993,40124916940.5945
749,IDN,1993,158006700301.533
750,IND,1993,279295648982.529
751,IRL,1993,52417477613.676
752,IRN,1993,63743623231.2312
753,ISL,1993,6218581531.64347
754,ISR,1993,
755,ITA,1993,1064958075550.63
756,JAM,1993,5440075675.74067
757,JOR,1993,5606400221.69269
758,JPN,1993,4536940479038.25
759,KAZ,1993,23409260879.9427
760,KEN,1993,5751786642.55871
761,KGZ,1993,2028295454.54545
762,KHM,1993,2533727592.04165
763,KIR,1993,46920900.8812969
764,KOR,1993,392665710525.411
765,KWT,1993,23941391390.7285
766,LAO,1993,1327748689.88094
767,LBN,1993,7941744492.23595
768,LKA,1993,10338679635.7616
769,LSO,1993,835582062.476169
770,LUX,1993,15925521222.0149
771,MAC,1993,5665606114.80317
772,MAR,1993,31655473663.8348
773,MDA,1993,
774,MDV,1993,322417837.161971
775,MEX,1993,530160763983.506
776,MLT,1993,2709178326.78271
777,MMR,1993,3163020043.89081
778,MNG,1993,768401634.154573
779,MUS,1993,3263363787.16599
780,MWI,1993,3013392657.99911
781,MYS,1993,66894966968.9736
782,NAM,1993,3251188833.14533
783,NER,1993,3052673849.25181
784,NLD,1993,353550169672.52
785,NOR,1993,120579213712.804
786,NPL,1993,3660041666.66667
787,NRU,1993,
788,NZL,1993,46775620817.4327
789,OMN,1993,12493107932.3797
790,PAK,1993,51809999353.1614
791,PAN,1993,8782585400.0
792,PER,1993,34832077220.8537
793,PHL,1993,62036529147.1831
794,POL,1993,96043157272.862
795,PRK,1993,
796,PRT,1993,95009751901.2592
797,PYF,1993,3544608548.41734
798,QAT,1993,7156593653.84615
799,ROU,1993,26361160449.9704
800,RUS,1993,435083713850.837
801,SAU,1993,132967891655.205
802,SEN,1993,7367986241.21869
803,SGP,1993,60603815716.2653
804,SLE,1993,768812334.801762
805,SRB,1993,
806,SSD,1993,
807,SVK,1993,16520676973.5301
808,SVN,1993,
809,SWE,1993,212953336588.123
810,SWZ,1993,1357189551.68431
811,SYC,1993,504230620.551871
812,SYR,1993,36860133630.2895
813,TCA,1993,
814,THA,1993,128889262951.157
815,TJK,1993,1646693642.12127
816,TLS,1993,
817,TTO,1993,4669488516.37981
818,TUN,1993,14608335608.1543
819,TUR,1993,180415757851.616
820,TZA,1993,4257702017.94111
821,UKR,1993,65648189143.7174
822,URY,1993,15002136971.1745
823,USA,1993,6858559000000.0
824,UZB,1993,13099013835.5111
825,VEN,1993,60037460783.1941
826,VNM,1993,13180953598.1716
827,ZAF,1993,147194747565.75
828,ABW,1994,1245810055.86592
829,ALB,1994,1880950864.41311
830,ARE,1994,59305093979.842
831,ARG,1994,257440000000.0
832,ARM,1994,1315158636.67553
833,ATG,1994,589429629.62963
834,AUS,1994,322802490487.721
835,AUT,1994,203535242741.838
836,BEL,1994,244884129491.198
837,BFA,1994,1895290637.09504
838,BGR,1994,9697416974.16974
839,BHR,1994,5567553457.44681
840,BHS,1994,3259000000.0
841,BLR,1994,14952100840.3361
842,BLZ,1994,769649509.481095
843,BMU,1994,1867160100.0
844,BOL,1994,5981222858.82727
845,BRA,1994,546229749726.263
846,BRB,1994,2151344901.30761
847,CAF,1994,851174356.781737
848,CHE,1994,301375055202.164
849,CHL,1994,56998601233.0675
850,CHN,1994,564321854521.013
851,CIV,1994,8313557515.23869
852,COD,1994,5820475672.05427
853,COL,1994,81705497616.5703
854,CPV,1994,406580652.330537
855,CRI,1994,10486787008.0926
856,CUB,1994,28448326756.7568
857,CYM,1994,
858,CYP,1994,7425703928.57143
859,CZE,1994,47850203856.1751
860,DEU,1994,2205074123177.05
861,DJI,1994,491689220.744875
862,DMA,1994,264374074.074074
863,DNK,1994,156162386724.523
864,DOM,1994,14644734599.4778
865,ECU,1994,22708673336.6683
866,EGY,1994,51897983392.6453
867,ESP,1994,530562634455.347
868,EST,1994,
869,FIN,1994,103299943084.804
870,FJI,1994,1825732092.54674
871,FRA,1994,1393982750472.59
872,GAB,1994,4190819344.22255
873,GBR,1994,1140489745944.29
874,GEO,1994,2514070771.80273
875,GHA,1994,5446383726.77047
876,GIN,1994,3383092768.69818
877,GMB,1994,746493951.900959
878,GNB,1994,235620043.500927
879,GRC,1994,116601801966.292
